   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         30.9         31.0         31.0         31.1         31.2         31.3         31.5         31.9         32.1         32.6         37.8
         237         30.9         31.0         31.1         31.1         31.2         31.3         31.6         32.7         33.6         35.5         36.1
         562         33.4         33.4         33.5         33.6         33.8         34.3         35.0         37.3         37.4         37.7         39.8
        1332         54.0         54.3         54.4         54.5         54.6         54.8         55.0         55.2         55.4         55.9         61.4
        3158         99.5         99.5         99.6         99.6         99.7         99.9        100.0        100.2        100.4        100.8        106.6
        7488        206.3        206.3        206.4        206.4        206.5        206.7        208.7        209.0        209.2        209.4        210.1
       17756        464.7        465.0        465.3        465.6        467.1        469.1        469.9        471.0        471.3        471.7        476.3
       42106       1070.7       1071.2       1072.2       1074.1       1079.2       1082.2       1084.8       1087.7       1090.7       1094.9       1128.5
       99849       3188.0       3194.3       3209.3       3224.4       3235.4       3243.2       3247.3       3255.3       3307.9       3370.5       3393.1
