   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1        974.2        974.5        975.0        975.5        976.3        977.5        979.2        981.4        982.7        985.5       1098.3
           2        955.4        955.5        955.6        955.7        955.8        956.0        956.2        956.5        958.6        966.4        971.7
           3        952.8        952.9        953.0        953.1        953.3        953.5        953.8        954.1        954.6        958.8        960.1
           4        951.9        955.9        957.7        957.8        958.0        958.3        958.6        959.3        960.1        962.9        964.7
           5        947.5        957.5        961.9        962.6        966.2        967.5        969.7        971.9        978.8        981.7       1020.2
           6        931.7        939.8        946.2        946.7        948.4        950.7        957.1        968.8        970.6        973.0        980.4
           7        948.6        949.1        951.8        952.1        952.4        952.7        953.2        954.1        955.6        965.9       1014.7
           8        937.9        939.0        945.3        945.7        946.2        946.7        947.5        949.1        950.4        955.8        970.5
           9        919.1        922.8        926.3        927.9        930.2        931.6        933.6        935.0        936.6        941.4        958.3
          10        927.5        931.0        934.2        935.3        937.1        938.9        941.0        941.9        942.4        945.5        973.6
          11        982.0        987.6        993.8        997.4       1000.7       1003.7       1006.9       1009.7       1011.7       1015.4       1036.7
          12        928.0        932.8        937.5        941.0        946.1        948.6        950.3        952.0        953.4        955.5        986.1
          13        898.2        902.3        910.1        910.9        911.9        913.0        914.4        916.4        917.6        921.4        967.7
          14        923.7        930.6        934.5        938.0        943.6        946.0        948.5        950.8        956.3        960.6        987.0
          15        878.9        880.4        882.1        883.0        884.4        886.1        888.3        890.5        892.1        895.1        912.2
          16        911.1        913.0        916.0        918.4        922.1        924.7        927.1        930.5        933.4        941.1        976.2
          17        875.6        876.6        876.9        877.2        877.5        878.2        878.8        879.9        881.8        885.7        910.2
          18        880.3        881.2        882.3        883.0        884.3        886.0        889.1        890.4        891.4        895.9        913.8
          19        865.7        866.0        866.6        866.9        867.6        868.6        869.5        870.6        872.2        875.6        902.7
          20        869.3        869.5        869.9        870.4        871.0        872.2        873.4        875.2        879.4        884.0        926.1
          21        895.1        896.9        899.5        900.4        901.7        902.6        903.9        906.4        909.0        911.9        919.7
          22        884.9        886.2        887.9        889.3        892.1        895.4        898.3        901.1        902.9        907.2        944.0
          23        865.8        865.9        866.2        866.5        867.0        867.9        870.4        875.3        876.2        878.2        903.9
          24        868.9        869.0        869.3        869.5        870.3        871.1        872.1        873.0        873.6        875.7        910.7
          25        873.6        874.3        874.8        875.1        875.5        876.2        878.0        879.5        880.1        881.3        886.5
          26        879.1        880.3        881.6        882.2        882.8        883.5        884.3        885.9        886.9        888.4        911.2
          27        880.8        882.1        882.9        883.5        884.9        886.6        887.6        888.3        888.9        891.8        910.1
          28        884.8        885.1        885.6        886.2        888.0        890.1        891.2        893.4        895.1        898.1        933.2
