   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1         16.1         16.1         16.2         16.2         16.3         16.3         16.4         16.8         18.4         18.5         18.6
           2         17.3         17.3         17.3         17.3         17.4         17.4         17.6         18.1         19.5         19.6         19.8
           4         19.5         19.6         19.6         19.6         19.7         19.8         19.9         21.7         21.9         22.0         22.3
           8         23.3         23.3         23.3         23.4         23.4         23.5         23.7         25.5         25.6         25.8         26.1
          16         30.3         30.3         30.3         30.4         30.4         30.6         30.9         32.6         32.7         33.0         34.5
          32         35.7         35.8         35.9         36.0         36.1         36.3         36.7         38.3         38.5         39.0         40.3
          64         44.3         44.4         44.6         44.8         45.2         45.9         46.7         47.5         48.1         48.8         49.2
         128         61.2         61.4         61.8         62.2         62.9         63.7         64.6         65.5         66.1         66.9         67.5
