   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         19.2         19.3         19.4         19.4         19.5         19.6         19.7         19.8         20.0         20.1         21.2
         237         19.4         19.5         19.5         19.6         19.7         19.9         20.1         20.3         20.4         20.6         21.5
         562         20.2         20.2         20.3         20.3         20.4         20.5         20.7         20.9         21.1         21.6         22.0
        1332         27.2         27.2         27.2         27.3         27.3         27.4         27.5         27.7         27.8         28.0         29.0
        3158         44.8         44.9         44.9         44.9         45.0         45.0         45.1         45.4         45.5         45.6         46.1
        7488         85.5         85.5         85.6         85.6         85.7         85.8         85.9         86.3         87.1         87.4         89.4
       17756        198.2        200.1        201.1        201.7        207.7        210.2        210.5        210.8        211.2        212.4        213.7
       42106        415.5        417.2        420.1        420.3        420.6        421.0        421.5        422.3        423.8        425.2        427.5
       99849       1039.0       1040.2       1042.4       1049.3       1049.9       1050.5       1051.2       1053.4       1054.4       1056.7       1060.4
