   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         29.9         30.1         30.6         30.7         30.8         30.9         31.0         31.2         31.4         32.0         36.6
         237         30.4         30.4         30.6         30.7         30.8         31.0         32.0         32.2         32.5         33.0         35.7
         562         32.6         32.6         32.7         32.8         32.9         33.0         33.2         33.5         33.6         34.5         38.0
        1332         52.7         52.8         53.1         53.2         53.4         53.6         53.9         55.2         55.4         56.0         87.1
        3158         96.7         96.8         96.9         97.0         97.1         97.3         99.3         99.5         99.7        100.0        110.2
        7488        199.9        200.0        200.0        200.1        200.2        200.3        200.4        200.7        200.9        202.3        202.7
       17756        449.7        450.4        451.5        452.9        454.1        455.7        457.5        458.7        459.1        460.3        464.1
       42106       1032.6       1036.6       1039.8       1041.1       1045.8       1047.7       1049.5       1052.0       1054.2       1059.4       1075.8
       99849       3095.5       3100.8       3116.9       3128.1       3142.5       3146.2       3153.0       3160.0       3199.7       3218.1       3253.6
