   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         28.0         28.0         28.1         28.2         28.3         28.4         28.9         29.4         29.7         30.2         34.5
         237         28.7         28.7         28.8         28.9         29.0         29.2         29.5         29.8         29.9         30.2         33.0
         562         30.8         30.9         31.0         31.2         31.4         31.6         31.7         31.9         32.0         32.3         34.8
        1332         46.3         46.4         46.4         46.5         46.7         47.2         47.6         47.8         48.0         48.6         54.1
        3158         84.9         85.0         85.1         85.2         85.4         85.7         86.1         86.5         86.8         87.4        100.7
        7488        173.3        173.4        173.5        173.7        173.9        174.1        174.3        174.6        174.9        175.8        177.2
       17756        395.0        395.4        395.8        396.5        397.6        399.3        400.3        401.0        401.4        403.7        406.7
       42106        900.8        901.3        902.0        902.9        905.2        907.6        909.0        911.3        913.4        916.1        945.6
       99849       2152.1       2161.5       2175.5       2188.1       2196.8       2202.0       2207.4       2209.3       2210.1       2217.7       2260.5
