   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         30.7         30.8         30.9         31.0         31.2         31.3         31.5         33.2         33.9         35.0         38.2
         237         31.9         32.0         32.2         32.4         32.6         32.7         33.1         35.1         35.5         36.8         37.7
         562         35.8         35.9         36.0         36.1         36.5         36.6         36.8         37.0         37.2         37.8         41.9
        1332         59.4         59.4         59.5         59.6         59.7         59.9         60.0         60.2         60.4         61.3         99.2
        3158        109.3        109.3        109.4        109.5        109.6        109.8        110.0        110.3        110.7        112.1        116.6
        7488        226.2        226.2        226.3        226.4        226.5        226.7        226.9        227.4        228.7        229.3        231.0
       17756        543.7        547.3        549.9        558.1        564.0        573.4        576.8        578.3        579.0        581.0        584.5
       42106       1227.9       1230.9       1239.7       1246.6       1247.4       1248.2       1249.7       1252.5       1253.4       1255.6       1286.8
       99849       3542.8       3547.9       3557.1       3575.8       3590.4       3593.5       3597.0       3654.0       3714.7       3726.3       3932.4
