   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         12.0         12.0         12.1         12.1         12.2         12.2         12.4         12.5         12.6         12.7         13.1
         237         12.4         12.4         12.4         12.4         12.5         12.6         12.7         12.8         12.9         13.1         13.5
         562         13.2         13.2         13.2         13.2         13.3         13.3         13.5         13.7         13.7         13.9         14.2
        1332         18.2         18.2         18.3         18.3         18.3         18.4         18.5         18.6         18.7         18.9         19.1
        3158         28.1         28.2         28.2         28.2         28.3         28.3         28.4         28.7         29.0         29.2         29.3
        7488         50.8         50.8         50.9         51.0         51.2         51.3         51.4         51.7         51.8         52.0         52.4
       17756        115.8        115.9        116.0        116.1        116.3        116.5        116.7        116.9        117.0        117.2        120.1
       42106        233.8        233.9        234.0        234.0        234.1        234.3        234.6        235.4        235.9        237.5        240.4
       99849        568.3        573.2        575.8        576.0        576.1        576.3        576.6        577.2        578.2        579.6        582.3
