   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         13.1         13.1         13.1         13.2         13.3         13.3         13.5         13.6         13.7         13.9         14.3
         237         13.4         13.4         13.4         13.5         13.5         13.6         13.8         13.9         14.0         14.4         15.1
         562         14.2         14.2         14.2         14.2         14.3         14.4         14.6         14.7         14.8         15.0         15.5
        1332         19.8         19.9         19.9         19.9         20.0         20.0         20.1         20.3         20.4         20.6         20.8
        3158         31.3         31.4         31.4         31.4         31.5         31.5         31.6         31.9         32.1         32.4         32.8
        7488         57.7         57.7         57.8         57.8         58.0         58.2         58.3         58.5         58.7         59.0         59.9
       17756        134.2        134.4        134.5        134.6        134.9        135.2        135.4        135.6        135.8        136.2        141.1
       42106        270.2        270.3        270.4        270.5        270.6        270.8        271.0        271.7        272.6        274.0        277.2
       99849        667.3        668.6        670.3        670.5        670.7        670.9        671.2        671.5        672.7        674.1        676.9
