   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         43.4         43.4         43.5         43.6         43.8         44.0         44.3         45.4        111.1       5384.2       5819.8
         237         44.5         44.6         44.7         44.7         44.9         45.1         45.4         46.8        111.2       5457.3       5817.5
         562         46.6         46.7         46.8         46.9         47.0         47.3         47.7         49.2        122.6       5521.8       5846.9
        1332         57.4         57.4         57.6         57.8         58.2         59.1         60.1         61.7        150.4       5627.3       5823.2
        3158         80.2         80.2         80.4         80.5         80.7         81.0         81.5         82.2        148.0       5434.2       5759.2
        7488        154.2        154.2        154.3        154.4        154.7        154.9        155.3        155.9        196.0       5362.7       5790.3
       17756        359.5        360.8        364.7        365.5        366.1        367.9        371.3       2507.1       4087.8       5455.0       5886.2
       42106        744.4        744.7        745.1        745.3        746.0        747.2        749.8       3764.3       4517.5       5789.5       6048.0
       99849       1812.0       1815.5       1820.3       1827.6       1836.5       1847.9       4016.5       4420.2       5144.6       6367.1       8004.5
