   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         26.5         26.6         26.7         27.5         27.7         27.8         27.9         28.1         28.2         28.5         30.8
         237         26.8         26.9         26.9         27.0         27.1         27.6         28.1         28.6         28.8         29.0         31.1
         562         28.3         28.4         28.4         28.5         28.6         28.8         29.0         30.0         30.3         30.7         33.3
        1332         37.8         37.9         38.0         38.1         38.4         38.7         39.0         39.3         39.6         40.7         45.0
        3158         63.5         63.5         63.6         63.6         63.7         63.8         64.1         64.5         64.8         65.2         89.6
        7488        127.1        127.2        127.3        127.4        127.6        127.8        128.1        128.5        128.7        129.2        135.4
       17756        290.6        292.5        299.1        300.1        300.8        301.9        305.6        309.4        312.8        315.3        316.7
       42106        630.4        630.6        630.8        631.2        631.8        632.8        634.2        635.5        636.4        638.3        642.6
       99849       1557.7       1560.9       1568.3       1575.2       1578.8       1580.3       1582.7       1585.0       1586.9       1590.4       1642.4
