   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         41.8         41.9         42.1         42.2         42.3         42.5         42.7         43.7         46.6       5360.5       5702.3
         237         42.8         42.9         43.1         43.3         43.5         43.8         44.3         45.7         71.1       5389.8       5779.3
         562         44.8         44.8         44.9         45.1         45.4         45.8         46.5         47.6         53.8       5494.9       5810.5
        1332         56.5         56.8         57.4         57.7         58.1         58.6         59.3         60.9        126.7       5459.1       5766.3
        3158         76.5         76.6         76.7         76.8         76.9         77.1         77.4         78.1        136.1       5327.4       5718.8
        7488        146.7        146.8        146.8        146.9        147.1        147.2        147.5        148.1        179.1       5294.7       5710.3
       17756        340.6        342.3        343.4        347.0        347.7        348.5        352.7       2506.6       3997.5       5342.1       5782.7
       42106        707.0        707.3        707.6        707.9        708.6        709.9        711.9       3760.3       4476.6       5669.0       6022.2
       99849       1719.0       1720.7       1726.4       1731.3       1740.0       1755.8       3955.2       4427.2       5092.9       6331.8       7913.5
