   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1        971.0        971.3        971.8        972.3        973.2        974.4        976.1        978.1        979.5        981.1        984.0
           2        955.6        955.7        955.8        955.9        956.0        956.2        956.4        956.7        957.2        962.0        969.5
           3        952.9        953.0        953.1        953.2        953.3        953.5        953.8        954.1        954.6        958.6        959.9
           4        952.2        956.7        957.9        958.0        958.2        958.5        958.7        958.9        959.3        962.9        964.9
           5        945.9        949.9        950.2        950.3        950.5        950.7        950.9        951.2        951.6        954.4        956.9
           6        934.5        935.3        944.1        949.7        966.7        968.6        969.6        971.4        971.9        974.3        986.1
           7        948.6        949.2        952.0        952.3        952.6        952.9        953.3        954.4        955.8        959.5       1005.5
           8        946.2        948.2        953.6        953.9        954.2        954.6        956.0        958.7        966.8        973.8        976.9
           9        933.3        936.5        941.3        941.9        942.5        944.8        946.6        947.4        949.1        951.0        988.0
          10        942.3        945.8        947.9        950.0        950.4        950.7        951.2        952.1        953.8        958.4        969.0
          11        936.8        940.8        945.5        947.4        951.4        952.2        953.2        954.6        955.8        958.3        961.1
          12        949.3        953.3        960.3        961.7        963.1        966.0        967.6        969.1        970.6        973.3        988.0
          13        915.6        918.6        927.1        929.9        932.1        937.9        941.4        943.4        944.6        947.1        968.6
          14        945.2        952.3        959.4        968.4        976.3        978.5        980.3        981.8        983.0        985.1        991.4
          15        899.3        902.7        909.8        910.9        911.7        912.9        914.2        915.7        918.3        923.8        950.5
          16        931.6        936.3        947.5        954.5        960.5        961.7        965.4        974.2        975.3        977.8        995.9
          17        882.0        883.4        885.0        885.6        886.3        887.7        890.4        896.5        901.1        905.0        911.1
          18        903.3        907.8        917.8        920.5        922.1        922.8        923.9        926.3        928.1        931.5        954.2
          19        867.5        868.4        869.4        870.0        871.1        872.3        873.4        874.6        875.3        876.9        884.8
          20        875.6        877.7        878.3        878.6        879.4        880.3        883.1        886.0        888.0        894.1        900.2
          21        883.7        885.9        891.6        892.8        894.1        895.7        897.6        899.4        901.4        904.7        935.2
          22        905.4        910.7        917.7        925.0        927.2        929.1        931.8        939.3        951.5        959.5        968.2
          23        866.3        866.5        866.9        867.3        868.1        868.9        870.0        871.0        871.5        873.0        899.6
          24        870.5        870.6        870.9        871.1        871.7        872.6        873.2        874.1        874.8        876.2        890.7
          25        874.8        875.3        875.9        876.4        876.9        877.4        878.1        879.1        879.7        881.5        917.7
          26        880.4        881.1        881.4        881.7        882.2        883.0        883.7        885.6        886.9        887.8        894.1
          27        882.2        882.7        883.6        885.3        887.4        889.0        891.2        895.1        897.1        900.1        924.9
          28        887.4        889.2        890.5        891.3        893.2        895.1        898.0        900.6        901.9        905.2        932.0
