   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         14.1         14.1         14.1         14.2         14.2         14.3         14.4         14.5         14.6         14.8         16.1
         237         14.4         14.5         14.5         14.5         14.6         14.7         14.8         14.9         15.0         15.2         15.8
         562         15.2         15.2         15.2         15.3         15.3         15.4         15.6         15.7         15.8         16.0         16.7
        1332         21.5         21.5         21.5         21.6         21.6         21.7         21.8         21.9         22.0         22.2         22.5
        3158         34.7         34.7         34.7         34.8         34.8         34.9         35.1         35.7         35.8         35.9         36.2
        7488         64.7         64.8         64.8         64.9         65.0         65.2         65.4         65.7         65.8         66.2         67.8
       17756        152.1        152.4        152.6        152.9        153.2        153.3        153.5        153.7        153.8        154.2        156.9
       42106        305.5        307.3        307.5        307.7        307.9        308.1        308.3        308.7        309.2        310.9        313.8
       99849        757.3        758.1        764.6        765.5        765.8        766.2        766.5        767.0        767.9        769.6        772.4
