   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1         21.6         21.7         21.7         21.8         21.9         22.3         23.8         23.9         24.2         24.3         24.6
           2         22.8         22.8         22.9         22.9         23.0         23.3         24.9         25.0         25.1         25.4         26.3
           4         25.0         25.0         25.0         25.1         25.2         26.2         26.9         27.2         27.3         27.6         28.7
           8         26.9         27.0         27.0         27.1         27.2         28.6         29.1         29.3         29.4         30.8         31.2
          16         35.1         35.2         35.2         35.3         35.4         37.2         37.4         37.6         38.0         39.4         39.6
          32         39.1         39.1         39.2         39.3         39.6         40.9         41.6         42.2         43.2         43.7         43.9
          64         46.8         46.9         47.0         47.2         47.6         48.6         49.4         50.3         50.8         51.3         51.8
         128         62.9         63.0         63.3         63.6         64.2         65.2         66.0         66.9         67.3         67.9         68.5
