   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1         16.1         16.1         16.2         16.2         16.2         16.3         16.4         16.8         18.3         18.5         18.6
           2         16.5         16.5         16.5         16.6         16.6         16.7         16.9         17.9         18.6         18.8         18.9
           4         17.9         18.0         18.0         18.0         18.1         18.2         18.4         19.5         20.1         20.3         20.5
           8         21.3         21.3         21.4         21.4         21.5         21.6         21.8         22.6         23.2         23.4         23.8
          16         25.6         25.6         25.7         25.7         25.8         26.0         26.3         26.8         27.1         27.6         28.6
          32         42.1         42.2         42.3         42.4         42.6         43.3         44.2         45.3         45.7         46.7         49.0
          64         51.9         51.9         52.0         52.2         52.6         53.2         53.8         54.5         55.0         56.3         60.7
         128         70.1         70.2         70.3         70.6         71.2         72.0         73.2         75.0         76.2         78.2        116.0
