   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         62.7         62.8         62.9         63.0         63.2         63.4         63.9         65.4        156.9       5549.1       5808.6
         237         64.5         64.5         64.7         64.8         65.0         65.3         66.1         67.7        164.5       5477.8       5801.4
         562         67.6         67.7         67.8         68.0         68.2         68.7         69.9         72.7       4270.8       5651.5       5857.4
        1332         85.8         86.0         86.2         86.4         86.9         87.5         88.3         92.0       4080.7       5555.4       5823.2
        3158        117.7        117.8        117.9        118.0        118.2        118.5        118.8        120.1       4450.6       5526.8       5854.6
        7488        232.0        232.0        232.1        232.3        232.5        232.7        233.2        234.9       4252.9       5530.9       5899.0
       17756        526.0        527.4        529.0        530.8        533.8        538.1        543.5       3445.1       4505.2       5766.7       6018.6
       42106       1166.7       1167.2       1168.0       1168.8       1170.3       1172.3       1176.7       4123.4       4873.3       6020.0       6183.2
       99849       3300.2       3311.9       3325.8       3337.9       3359.2       3400.1       5086.8       6255.3       6403.5       7661.0       8317.8
