   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1         84.5         84.7         84.8         85.1         86.6         87.1         87.4         88.9         89.3         89.8         90.3
           2         53.4         53.5         53.6         53.7         54.2         55.0         55.9         56.8         57.2         58.0         58.4
           4         53.7         53.8         53.8         53.9         54.0         54.2         54.4         54.9         55.3         55.9         56.3
           8         53.0         53.0         53.1         53.1         53.2         53.4         53.9         54.7         55.5         57.1         60.5
          16         56.5         56.6         56.6         56.7         56.8         57.0         57.4         57.7         57.9         58.3         61.1
          32         61.5         61.5         61.6         61.6         61.7         61.9         62.2         62.5         62.8         64.0        103.9
          64         66.3         66.3         66.4         66.5         66.6         66.8         67.0         67.3         67.7         69.8        119.4
         128         85.0         85.2         85.6         86.0         86.7         87.6         88.8         90.5         91.7         94.2        136.3
