   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         16.3         16.4         16.4         16.5         16.5         16.6         16.7         16.9         17.0         17.1         18.2
         237         16.6         16.7         16.7         16.7         16.8         16.9         17.0         17.1         17.2         17.4         17.9
         562         17.5         17.5         17.6         17.6         17.7         17.7         17.8         17.9         18.0         18.2         18.9
        1332         25.1         25.1         25.1         25.1         25.2         25.2         25.3         25.5         25.6         25.8         26.4
        3158         41.3         41.3         41.3         41.4         41.4         41.5         41.7         41.9         42.3         42.5         42.8
        7488         78.8         78.8         78.9         79.0         79.2         79.3         79.5         79.8         80.0         80.5         82.8
       17756        185.7        188.7        189.6        189.7        189.9        190.1        190.3        190.6        190.8        192.9        195.7
       42106        379.2        381.6        382.4        382.5        382.8        383.2        383.7        384.2        385.2        386.7        389.5
       99849        946.0        949.7        951.3        954.6        954.9        955.2        955.7        957.6        958.2        960.7        963.2
