   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         16.5         16.5         16.5         16.6         16.6         16.7         16.9         17.4         18.3         18.7         18.9
         237         17.0         17.1         17.1         17.1         17.2         17.2         17.5         18.2         19.1         19.3         19.5
         562         17.9         17.9         17.9         17.9         18.0         18.1         18.5         19.5         20.1         20.2         20.5
        1332         21.5         21.5         21.6         21.6         21.7         21.9         22.4         22.8         23.1         23.3         23.8
        3158         26.6         26.6         26.7         26.7         26.8         26.9         27.5         27.8         28.3         28.7         29.0
        7488         38.0         38.0         38.1         38.2         38.3         38.5         38.8         39.2         39.4         39.7         40.0
       17756         68.9         69.0         69.0         69.1         69.2         69.6         70.0         70.4         70.9         71.3         71.8
       42106        130.6        130.7        130.8        131.0        131.8        132.7        133.6        134.3        135.0        135.4        136.0
       99849        299.6        299.8        300.3        300.5        300.6        300.8        301.1        301.6        302.0        303.7        355.7
