   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         34.0         34.1         34.1         34.2         34.3         34.4         34.6         35.2         36.3         36.6         37.4
         237         35.0         35.1         35.1         35.2         35.3         35.4         35.6         36.3         37.4         37.7         38.6
         562         36.6         36.6         36.7         36.7         36.8         37.0         37.2         37.6         38.9         39.2         39.8
        1332         43.7         43.8         43.9         44.0         44.2         44.5         45.0         46.3         46.6         47.4         49.0
        3158         69.4         69.4         69.5         69.6         69.8         70.0         70.4         70.7         71.0         71.6         76.9
        7488        128.5        128.6        128.7        128.8        128.9        129.1        129.4        129.8        130.2        134.2        136.3
       17756        281.9        282.1        283.1        285.7        287.4        289.0        290.5        291.8        292.7        293.9        296.1
       42106        648.2        651.5        652.7        653.9        655.0        662.8        665.5        666.9        668.1        669.7        686.4
       99849       1547.4       1552.3       1558.2       1564.1       1574.9       1582.2       1585.7       1589.1       1591.7       1601.9       1656.2
