   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         14.1         14.2         14.2         14.2         14.3         14.4         14.5         14.6         14.7         14.8         15.3
         237         14.5         14.5         14.6         14.6         14.7         14.7         14.8         15.0         15.0         15.2         15.5
         562         15.3         15.3         15.4         15.4         15.4         15.5         15.7         15.8         15.9         16.0         17.4
        1332         22.0         22.0         22.0         22.1         22.1         22.2         22.3         22.4         22.5         22.7         23.0
        3158         34.8         34.9         34.9         34.9         35.0         35.1         35.3         35.4         35.7         36.0         36.2
        7488         64.9         64.9         65.0         65.1         65.3         65.4         65.5         65.7         65.9         66.4         68.0
       17756        153.2        153.3        153.4        153.5        153.6        153.8        154.0        154.2        154.3        154.6        157.1
       42106        305.6        307.8        308.0        308.1        308.3        308.5        308.8        309.1        309.5        311.7        314.5
       99849        757.6        759.7        765.3        765.8        766.0        766.2        766.5        766.7        767.2        769.4        772.2
