   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1        202.6        203.5        204.2        204.9        206.5        208.3        209.0        209.8        210.9        211.7        212.9
           2        114.9        115.3        115.9        116.4        117.3        118.6        119.8        121.1        121.7        122.6        123.4
           4        105.3        105.3        105.3        105.4        105.5        105.7        106.1        106.8        107.4        108.1        108.9
           8        108.5        109.0        110.2        111.3        113.0        115.0        117.8        120.3        120.8        121.4        122.4
          16        113.1        113.4        114.1        114.4        114.7        115.3        116.3        118.1        119.2        121.1        121.7
          32        118.1        118.3        118.4        118.6        119.0        119.5        120.9        121.8        122.6        124.3        135.7
          64        131.2        131.3        131.5        131.7        132.1        132.7        133.4        134.3        134.9        136.2        142.8
         128        134.8        134.9        135.0        135.1        135.3        135.8        136.2        137.6        138.3        139.2        150.3
