   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         25.9         25.9         26.0         26.0         26.1         26.3         26.7         27.2         27.4         27.7         28.9
         237         26.8         26.9         26.9         27.0         27.1         27.3         27.8         28.3         28.5         28.9         29.5
         562         29.8         29.8         29.9         29.9         30.0         30.3         30.6         31.4         31.6         32.0         32.5
        1332         40.9         40.9         41.0         41.0         41.2         41.5         41.9         42.3         42.6         43.2         44.4
        3158         64.8         64.8         64.9         65.0         65.1         65.5         66.1         66.4         66.7         67.2         70.2
        7488        123.4        126.0        126.7        128.5        131.3        133.0        133.7        134.7        136.5        137.3        138.5
       17756        272.0        272.6        273.7        274.4        277.3        282.4        285.0        286.7        287.8        289.1        290.8
       42106        621.9        623.8        624.8        625.8        626.8        628.6        639.8        641.3        642.2        643.6        646.5
       99849       1465.9       1470.7       1474.5       1477.3       1484.8       1503.8       1509.7       1513.5       1516.2       1523.9       1571.4
