   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1         38.0         38.0         38.1         38.1         38.4         38.9         40.4         42.2         42.5         42.7         43.0
           2         39.1         39.1         39.2         39.3         39.5         40.1         41.6         43.4         43.7         43.9         44.0
           4         41.4         41.5         41.5         41.6         41.8         42.7         44.0         45.8         46.0         46.3         46.7
           8         45.6         45.6         45.8         45.9         46.1         47.2         48.2         50.0         50.2         50.5         51.9
          16         54.8         54.9         55.0         55.1         55.3         56.9         57.5         59.3         59.5         60.4         61.3
          32         53.5         53.5         53.7         53.9         54.5         55.9         56.4         57.9         58.2         59.4         60.0
          64         54.0         54.3         54.8         55.1         55.8         56.6         57.6         59.2         60.1         60.8         61.3
         128         66.9         67.1         67.5         67.9         68.8         69.7         70.5         71.4         72.0         72.6         73.2
