   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         51.5         51.6         51.7         51.8         52.1         52.7         53.3         54.8        276.2       5618.8       5840.2
         237         53.5         53.6         53.8         54.0         54.2         54.6         55.2         57.0        153.2       5561.0       5833.9
         562         55.7         55.8         56.0         56.2         56.7         57.2         58.3         59.9       4389.8       5597.0       5825.1
        1332         67.8         67.9         68.1         68.3         68.7         69.3         70.5         72.7       4139.4       5522.3       5842.8
        3158         92.3         92.4         92.6         92.7         93.0         93.3         93.8         95.7       4584.6       5626.1       5902.5
        7488        180.9        181.0        181.2        181.3        181.5        181.8        182.2        183.3       4360.5       5627.0       5816.8
       17756        400.0        401.4        404.3        407.2        411.7        417.6        423.6       3167.2       4348.7       5605.4       5997.5
       42106        883.1        883.4        883.8        884.2        885.1        886.0        889.7       4025.5       4787.4       6008.5       6086.1
       99849       2111.8       2118.6       2126.0       2132.3       2143.2       2165.1       3942.1       5642.5       5982.6       7168.9       7961.4
