   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1         37.9         37.9         38.0         38.0         38.2         38.8         40.2         42.0         42.4         42.6         42.9
           2         29.9         29.9         29.9         30.0         30.1         30.3         30.8         31.0         31.4         32.1         32.2
           4         30.7         30.8         30.8         30.9         30.9         31.1         31.5         32.0         32.4         32.6         32.9
           8         32.8         32.8         32.9         32.9         33.1         33.3         33.7         34.1         34.4         34.7         35.2
          16         36.7         36.8         36.9         37.0         37.2         37.5         37.9         38.4         38.8         39.5         40.3
          32         47.5         47.5         47.7         47.9         48.4         49.0         50.2         51.1         51.9         53.0         56.0
          64         57.2         57.3         57.4         57.6         57.9         58.3         58.9         59.5         60.2         61.6         96.3
         128         76.3         76.5         76.8         77.2         78.0         79.1         80.0         81.3         82.6         85.2        125.1
