   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         57.8         57.8         58.0         58.1         58.3         58.7         60.5         62.2       4288.9       5650.5       5878.0
         237         59.4         59.5         59.6         59.7         59.9         60.6         62.1         63.8       4162.3       5675.8       5875.1
         562         62.6         62.7         62.8         63.0         63.4         64.2         65.3         67.2       4556.1       5631.8       5870.2
        1332         79.2         79.3         79.5         79.7         80.2         80.8         82.1         85.3       4469.8       5644.8       5836.6
        3158        106.6        106.7        106.8        106.9        107.2        107.4        107.8        109.4       4384.5       5560.4       5788.8
        7488        209.7        209.8        209.9        210.0        210.2        210.4        210.7        211.8       4521.4       5577.1       5879.0
       17756        478.3        480.7        482.1        483.6        485.5        489.7        501.9       3486.1       4647.8       5721.5       6034.5
       42106       1031.2       1031.5       1031.8       1032.1       1032.8       1034.0       1037.7       3983.5       4959.1       5989.6       6047.2
       99849       2476.5       2484.3       2493.5       2499.7       2511.7       2535.6       4701.1       5980.9       6087.6       7565.2       8090.9
