   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         49.5         49.5         49.6         49.7         49.8         50.0         50.5         51.7        129.6       5494.8       5797.7
         237         50.9         51.0         51.1         51.2         51.3         51.5         52.0         53.7        143.7       5539.8       5800.6
         562         53.2         53.3         53.4         53.5         53.8         54.2         55.3         56.6        136.1       5513.3       5782.4
        1332         64.5         64.7         64.9         65.1         65.6         66.4         67.7         69.4        148.7       5408.7       5789.6
        3158         88.2         88.3         88.5         88.6         88.8         89.0         89.3         90.4        164.0       5428.8       5815.2
        7488        172.6        172.7        172.8        172.9        173.1        173.5        173.8        174.6        232.3       5329.5       5821.1
       17756        387.8        389.5        391.4        393.0        396.4        402.1        408.5       2780.6       4084.4       5608.8       6005.4
       42106        845.5        845.7        846.1        846.5        848.1        851.6        856.5       3964.0       4576.7       5778.7       6060.3
       99849       2032.5       2039.8       2046.0       2052.0       2063.1       2085.9       3939.5       4134.8       5974.7       6144.0       7894.6
