   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         15.2         15.2         15.2         15.3         15.3         15.4         15.6         15.7         15.8         16.0         17.6
         237         15.5         15.6         15.6         15.6         15.7         15.8         15.9         16.1         16.1         16.3         17.4
         562         16.4         16.4         16.4         16.5         16.6         16.7         16.8         16.9         17.0         17.1         18.1
        1332         23.5         23.5         23.5         23.5         23.6         23.7         23.7         23.9         24.1         24.3         24.6
        3158         38.2         38.2         38.2         38.3         38.3         38.4         38.6         38.8         39.2         39.4         39.8
        7488         71.9         71.9         72.0         72.0         72.2         72.5         72.6         72.8         73.0         73.5         75.8
       17756        169.7        171.6        171.7        171.8        171.9        172.0        172.2        172.5        172.6        173.5        177.2
       42106        342.7        345.2        345.5        345.6        345.8        346.0        346.3        346.7        347.4        349.4        352.0
       99849        851.7        853.9        856.6        859.7        860.0        860.2        860.5        860.9        861.6        863.6        866.3
