   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1        971.0        971.4        972.1        973.0        974.9        976.8        979.4        981.9        984.1        988.0       1097.0
           2        955.5        955.6        955.7        955.8        956.0        956.1        956.4        956.6        958.6        965.5        969.6
           3        952.8        952.9        953.0        953.1        953.2        953.4        953.6        953.9        954.5        958.4        959.7
           4        952.3        956.4        957.9        958.1        958.3        958.5        958.7        959.0        959.5        963.6        964.8
           5        946.9        956.4        961.9        962.6        966.3        967.5        969.7        972.0        979.3        982.2       1037.8
           6        930.6        935.3        946.2        946.7        948.5        950.7        965.9        968.5        970.2        971.6        987.0
           7        948.0        948.4        951.1        951.5        951.8        952.1        952.6        953.5        955.0        960.3        983.4
           8        937.7        938.8        944.8        945.3        945.8        946.3        947.0        948.7        950.0        956.7        969.2
           9        919.6        923.4        926.5        928.1        930.2        931.6        933.5        935.0        936.6        940.5        959.0
          10        926.5        929.9        933.1        934.3        935.1        937.5        939.4        941.4        942.3        944.6        962.8
          11        982.7        990.0        996.0        999.1       1002.5       1005.5       1008.8       1012.2       1014.0       1017.9       1031.5
          12        920.7        923.7        926.6        928.4        931.0        934.4        941.0        945.7        950.4        958.9        973.1
          13        890.5        893.2        896.3        898.1        900.2        902.4        904.6        907.0        908.6        911.3        940.7
          14        923.4        927.5        932.5        935.3        939.0        942.4        945.1        948.1        951.7        958.3        983.9
          15        876.2        877.7        879.4        880.3        882.6        885.1        886.7        889.2        890.8        895.2        927.1
          16        898.6        902.6        906.6        908.0        909.7        911.9        917.1        922.9        925.6        932.9        950.0
          17        873.1        873.5        874.0        874.6        876.0        876.7        877.7        878.5        880.5        884.5        893.9
          18        878.2        879.1        880.4        881.5        882.8        883.8        888.6        893.3        897.3        903.7        927.3
          19        865.9        866.0        866.3        866.7        867.5        868.4        869.8        870.6        871.5        874.2        886.1
          20        869.9        870.2        870.4        870.7        871.1        871.8        872.8        874.3        876.2        881.4        903.9
          21        899.3        901.4        903.2        904.7        909.3        915.3        920.6        924.3        926.2        927.8        933.6
          22        886.3        888.9        892.0        894.1        898.8        901.4        904.2        906.6        908.2        911.4        948.0
          23        866.5        866.7        867.0        867.5        868.5        869.9        871.2        872.1        872.5        873.2        879.6
          24        871.2        871.4        871.8        872.2        873.0        873.7        874.5        875.2        875.8        876.9        882.1
          25        875.3        875.5        875.7        875.9        876.6        877.4        878.7        880.3        881.1        882.5        918.2
          26        879.3        879.7        880.2        880.9        882.5        885.2        887.2        888.2        888.7        890.3        902.7
          27        882.0        882.5        883.5        885.3        886.0        886.9        888.4        891.1        892.1        893.9        924.6
          28        887.0        887.7        889.3        890.5        891.5        892.3        894.1        896.8        897.9        900.8        928.3
          29        870.8        871.0        871.4        871.8        872.4        873.2        874.1        875.1        875.9        878.0        912.8
          30        870.6        870.7        870.9        871.2        871.7        872.5        873.5        874.6        875.5        877.3        899.8
          31        870.5        870.8        871.2        872.0        874.4        875.6        876.5        877.3        877.7        879.5        916.6
          32        871.2        871.5        871.8        872.1        872.5        873.4        874.1        875.0        876.0        879.3        902.1
