   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         19.3         19.3         19.4         19.4         19.5         19.6         19.8         20.5         21.0         21.3         21.6
         237         20.1         20.1         20.1         20.2         20.3         20.4         20.7         21.6         21.9         22.2         22.5
         562         21.5         21.5         21.6         21.6         21.7         21.8         22.6         23.3         23.5         23.8         24.4
        1332         27.0         27.0         27.1         27.1         27.2         27.7         28.4         29.2         29.3         29.4         29.6
        3158         36.7         36.8         36.8         36.9         36.9         37.0         37.4         37.8         38.0         38.5         39.1
        7488         59.4         59.5         59.5         59.5         59.6         59.7         59.8         60.0         60.2         60.5         60.8
       17756        132.1        132.5        133.8        134.2        135.1        136.8        138.7        139.4        140.8        141.5        142.5
       42106        278.5        279.9        281.6        282.4        283.9        285.4        287.7        292.4        293.9        297.6        300.4
       99849        650.9        653.9        655.7        656.8        658.8        662.0        670.9        673.7        675.4        677.8        693.4
