   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         19.0         19.0         19.1         19.1         19.2         19.2         19.3         19.6         19.8         21.3         21.4
         237         19.8         19.9         19.9         19.9         20.0         20.1         20.2         20.5         22.0         22.2         22.4
         562         21.2         21.3         21.3         21.3         21.4         21.5         21.7         23.4         23.5         23.7         23.8
        1332         25.2         25.3         25.3         25.4         25.5         26.0         26.7         27.0         27.1         27.4         27.5
        3158         33.3         33.3         33.4         33.4         33.5         33.6         33.8         34.0         34.6         35.1         35.3
        7488         52.2         52.2         52.2         52.3         52.4         52.5         52.8         56.3         57.5         57.8         58.9
       17756        117.8        118.0        118.2        118.6        119.9        120.5        121.6        122.7        123.3        123.8        124.8
       42106        244.1        244.9        246.1        247.2        250.2        253.0        254.9        256.5        257.5        259.1        261.6
       99849        568.7        570.6        572.0        572.9        574.6        576.0        577.8        579.6        580.5        582.4        588.8
