   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1        975.0        975.6        976.4        977.3        978.8        980.4        982.4        984.6        986.3       1084.2       1101.5
           2        955.4        955.5        955.6        955.7        955.9        956.1        956.3        956.6        958.6        966.9        971.0
           3        952.5        952.6        952.7        952.8        953.0        953.2        953.5        953.8        954.3        957.8        959.5
           4        951.8        956.3        958.0        958.2        958.4        958.6        958.8        959.0        959.4        962.6        964.6
           5        946.1        949.7        950.0        950.1        950.3        950.5        950.8        951.1        951.9        954.5        956.5
           6        934.8        938.7        943.2        943.4        943.7        943.9        944.2        944.6        946.6        949.8        950.8
           7        953.4        954.0        959.7        961.1        961.4        961.6        961.9        962.3        963.2        965.0        967.6
           8        955.0        955.5        960.3        962.3        962.5        962.8        963.1        963.6        964.7        966.7        969.1
           9        936.8        937.6        942.4        945.3        945.6        945.9        946.2        946.7        947.4        949.5        952.0
          10        946.8        950.4        952.1        955.0        955.3        955.6        956.0        956.7        958.4        960.3        961.9
          11        942.6        946.5        948.2        955.7        956.2        956.7        957.2        958.0        959.4        962.3        964.6
          12        921.7        925.3        936.3        939.3        940.3        941.2        942.0        944.3        945.1        947.2        955.1
          13        902.7        904.5        914.4        918.8        919.4        919.9        920.7        922.6        924.1        926.1        948.1
          14        933.8        944.7        950.3        962.6        966.1        966.7        967.4        968.5        970.1        972.5        996.0
          15        897.2        900.5        910.8        912.0        912.4        912.9        913.7        916.7        917.6        919.3        946.5
          16        934.7        941.4        952.5        962.2        969.7        970.6        971.8        973.2        974.1        976.3        980.8
