   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         21.9         21.9         22.0         22.0         22.1         22.3         22.6         23.4         23.6         23.9         24.6
         237         22.9         22.9         22.9         23.0         23.1         23.2         23.8         24.3         24.5         24.8         26.1
         562         25.3         25.3         25.4         25.4         25.5         25.7         26.0         26.2         26.5         27.1         27.9
        1332         33.0         33.1         33.2         33.2         33.5         34.0         34.8         35.1         35.3         35.5         35.9
        3158         48.9         48.9         49.0         49.1         49.5         50.4         50.9         51.5         51.7         52.1         52.6
        7488         86.5         86.5         86.5         86.6         86.7         86.8         87.1         87.6         88.2         88.9         89.9
       17756        182.2        182.4        183.1        183.9        185.2        186.3        187.7        188.9        189.7        191.2        193.2
       42106        399.6        400.0        400.3        400.4        400.8        401.4        402.1        403.1        404.0        405.6        409.9
       99849        929.3        932.5        938.7        943.9        944.6        945.3        946.8        950.4        952.2        961.2       1004.6
