   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         21.5         21.6         21.6         21.6         21.7         21.8         22.1         22.9         23.3         23.5         24.1
         237         22.3         22.3         22.3         22.4         22.5         22.6         23.2         23.8         24.1         24.4         24.9
         562         24.1         24.1         24.1         24.2         24.3         24.6         25.2         25.7         25.8         26.2         27.0
        1332         31.6         31.6         31.7         31.8         32.1         32.3         32.6         33.0         33.2         33.4         33.7
        3158         46.4         46.4         46.5         46.6         46.8         47.1         47.5         47.9         48.2         48.6         49.0
        7488         80.0         80.0         80.1         80.1         80.3         80.6         81.0         81.6         82.0         82.7         83.8
       17756        172.2        172.4        172.7        173.0        174.3        175.7        177.0        178.7        179.7        180.9        182.7
       42106        366.5        367.0        367.9        368.7        369.8        371.0        372.3        373.5        374.4        376.2        381.3
       99849        864.5        867.2        870.7        872.3        874.2        876.5        880.9        885.5        888.2        894.7        954.9
