   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1        202.6        203.5        204.3        205.0        206.7        208.4        209.1        210.0        210.9        211.8        213.2
           2        204.4        205.3        206.0        206.7        208.3        210.0        210.8        211.7        212.6        213.7        215.2
           4        206.6        207.7        208.4        209.0        210.7        212.4        213.2        214.2        215.2        216.0        217.6
           8        211.1        212.3        213.0        213.8        215.4        217.2        217.9        219.1        219.8        220.7        222.6
          16        220.4        221.4        222.2        222.8        224.5        226.3        227.1        228.4        229.1        229.9        231.4
          32        170.3        170.9        171.3        171.7        173.3        173.9        175.1        176.0        176.6        177.8        179.0
          64        143.1        143.3        143.7        144.2        145.8        148.2        150.3        152.2        153.0        154.1        157.1
         128        130.7        130.8        131.0        131.1        131.4        131.7        132.2        134.4        135.3        136.7        137.6
