   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         17.6         17.6         17.6         17.6         17.7         17.8         18.0         18.8         19.6         19.8         20.0
         237         18.1         18.1         18.1         18.2         18.2         18.4         18.7         19.3         20.2         20.4         20.7
         562         19.0         19.0         19.0         19.0         19.1         19.3         19.9         21.0         21.2         21.5         21.9
        1332         23.1         23.2         23.2         23.3         23.4         23.5         24.1         24.5         24.7         25.5         25.8
        3158         29.8         29.8         29.9         29.9         30.0         30.1         30.3         30.8         31.0         31.3         31.7
        7488         44.8         44.9         44.9         45.0         45.2         45.3         45.8         46.1         46.4         46.7         47.2
       17756         87.1         87.2         87.3         87.4         87.6         87.9         88.1         88.4         88.6         89.1         90.0
       42106        167.7        167.8        167.9        168.1        169.0        170.0        170.9        171.6        172.2        173.1        175.1
       99849        394.4        394.7        395.1        395.2        395.4        395.6        396.0        396.7        397.5        401.2        429.3
