   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         40.6         40.8         41.0         41.3         41.5         41.7         41.9         42.5         44.6       5331.3       5751.4
         237         41.5         41.6         41.9         42.1         42.4         42.8         43.1         43.9         45.4       5273.1       5739.6
         562         43.4         43.5         43.6         43.7         44.1         44.5         44.8         46.2         47.9       5285.7       5732.8
        1332         53.9         54.0         54.2         54.6         56.0         56.3         56.8         58.5         61.8       5196.3       5706.3
        3158         73.1         73.1         73.2         73.2         73.3         73.5         73.8         74.4        103.7       5262.8       5704.5
        7488        139.5        139.6        139.7        139.8        140.0        140.2        140.5        141.6        142.7       5202.7       5716.1
       17756        321.2        321.7        324.1        326.5        328.4        329.9        333.7        353.2       3741.4       5155.5       5696.2
       42106        671.4        671.6        672.0        672.3        673.0        673.8        675.3       3296.4       4005.5       5368.9       6014.2
       99849       1631.4       1634.2       1639.6       1643.6       1651.6       1659.9       3427.4       4380.9       5030.8       6149.9       6990.2
