   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         33.2         33.2         33.3         33.3         33.4         33.5         33.8         34.3         34.7         35.7         36.6
         237         34.2         34.2         34.3         34.3         34.4         34.5         34.8         35.7         36.5         37.0         37.9
         562         35.7         35.7         35.8         35.8         35.9         36.1         36.4         37.7         38.1         38.5         39.5
        1332         42.3         42.3         42.4         42.5         42.7         43.0         43.6         44.8         45.1         45.6         47.1
        3158         52.9         52.9         53.0         53.0         53.2         53.4         54.0         54.3         54.6         55.1         57.7
        7488         93.4         93.4         93.5         93.5         93.6         93.8         94.1         94.6         94.9         95.7         98.0
       17756        229.5        230.5        231.2        231.4        232.0        233.3        236.5        240.5        242.2        243.9        245.5
       42106        455.0        457.9        459.9        460.7        463.1        466.9        469.2        471.4        473.0        474.7        476.0
       99849       1126.1       1128.6       1138.7       1143.2       1145.9       1148.0       1149.6       1151.1       1152.3       1154.7       1196.1
