   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100          7.0          7.0          7.1          7.1          7.2          7.2          7.3          7.4          7.7          7.7          7.8
         237          7.1          7.1          7.2          7.2          7.3          7.3          7.4          7.4          7.7          7.8          7.9
         562          7.9          7.9          7.9          7.9          8.0          8.0          8.1          8.1          8.4          8.5          8.5
        1332          9.9          9.9         10.0         10.0         10.0         10.1         10.1         10.2         10.5         10.6         10.6
        3158         11.7         11.7         11.7         11.7         11.8         11.8         11.9         12.0         12.2         12.3         12.3
        7488         15.8         15.8         15.8         15.9         15.9         16.0         16.0         16.2         16.3         16.4         16.5
       17756         25.4         25.4         25.4         25.5         25.5         25.7         25.8         26.0         26.1         26.3         26.6
       42106         48.6         48.7         48.8         48.9         49.0         49.1         49.4         49.6         49.8         50.2         52.2
       99849        104.4        104.5        104.7        104.8        105.1        105.5        105.9        106.2        106.7        108.9        110.5
