   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          82        892.2        892.4        892.7        893.0        894.5        897.1        898.6        900.6        902.1        904.2        943.6
          83        893.2        893.5        894.4        895.9        897.7        898.7        900.3        901.7        902.9        904.7        910.4
          84        893.1        893.4        893.8        894.4        896.7        898.1        899.8        901.1        901.7        905.1        948.7
          85        893.8        894.1        895.0        896.0        897.8        900.3        902.6        905.0        906.7        909.3        945.9
          86        887.3        887.4        887.5        887.7        888.0        888.5        890.1        891.2        892.0        894.6        900.8
          87        888.1        888.3        888.5        888.7        889.1        890.8        891.3        891.9        893.9        896.1        911.3
          88        889.0        889.2        889.5        889.9        891.0        892.4        894.1        895.3        896.3        898.5        904.0
          89        889.4        889.5        889.7        890.0        890.4        892.0        892.8        894.6        896.2        898.2        933.5
          90        890.8        891.4        892.2        892.7        894.1        895.4        897.2        898.6        899.8        901.5        937.7
          91        891.7        892.5        893.1        893.7        895.2        896.6        898.1        899.6        900.5        901.7        926.6
          92        891.9        892.3        893.1        894.0        894.9        896.2        897.9        899.5        900.6        902.3        924.3
          93        890.9        891.1        892.1        893.7        894.8        896.3        897.7        899.2        900.2        902.2        928.8
          94        890.5        890.8        891.1        891.5        892.3        893.4        894.8        896.0        897.1        900.5        926.8
          95        892.4        892.8        893.2        893.6        895.2        897.3        900.1        902.0        903.4        904.8        924.9
          96        894.0        894.1        894.5        895.1        896.8        898.8        901.6        905.0        907.8        911.7        923.1
          97        895.0        895.2        895.8        897.0        898.5        900.6        902.6        905.3        908.3        912.8        938.4
          98        893.6        893.8        894.3        894.9        896.7        898.9        902.3        905.0        906.4        908.1        923.8
          99        894.8        895.0        895.4        895.9        897.6        899.3        901.4        903.3        904.2        906.0        934.8
         100        895.3        895.5        895.8        896.2        897.9        900.3        902.0        904.0        904.9        906.6        941.0
         101        897.2        897.6        898.4        899.3        901.4        903.5        905.9        907.8        908.8        910.9        940.3
         102        897.3        897.5        897.8        898.3        899.9        902.3        903.7        905.9        906.6        908.9        927.1
         103        896.7        897.0        897.6        898.6        900.3        901.6        903.7        905.1        906.7        909.5        925.5
         104        897.9        898.8        900.3        901.4        902.6        905.0        907.7        910.0        911.1        913.2        917.6
         105        897.7        897.9        898.1        898.4        899.3        901.3        902.8        904.7        905.5        908.7        951.7
         106        898.0        898.3        898.9        899.7        901.5        903.5        905.4        906.8        907.9        911.9        944.6
         107        900.2        900.6        901.4        902.4        903.8        905.3        907.5        909.3        911.5        914.2        942.1
         108        898.9        899.4        900.5        901.6        903.0        905.2        907.6        911.1        913.4        916.0        921.3
         109        900.0        900.6        901.6        902.4        904.4        906.0        908.6        910.8        912.5        915.4        941.2
         110        903.8        905.2        906.4        907.5        909.9        911.4        914.3        916.1        918.5        920.6        930.6
         111        903.6        904.0        904.7        905.7        908.0        909.5        912.2        915.0        916.9        919.7        943.5
         112        905.7        905.8        906.2        906.6        909.2        911.4        913.0        914.8        915.2        918.2        958.1
         113        903.3        904.0        905.8        907.0        909.4        912.0        915.3        918.8        920.4        923.6        937.6
         114        896.1        896.3        896.6        896.9        897.4        899.8        900.7        903.5        906.0        908.1        925.2
         115        897.1        897.2        897.4        897.6        898.0        899.4        901.2        902.1        904.2        907.2        930.8
         116        897.4        897.6        897.8        898.0        898.3        899.7        901.8        903.4        905.4        907.3        934.8
         117        899.0        899.2        899.5        899.7        900.3        902.5        903.4        905.2        907.0        908.7        913.3
         118        899.2        899.4        899.8        900.1        901.2        903.7        904.2        904.9        907.8        909.3        916.6
         119        898.3        898.5        898.7        899.0        899.3        899.9        902.8        903.8        905.0        907.3        928.2
         120        899.9        900.2        901.0        902.1        903.7        905.6        907.2        908.4        909.2        910.8        915.1
         121        898.9        899.1        899.3        899.6        900.0        900.7        902.7        904.8        906.0        908.1        926.6
         122        901.5        902.0        902.5        903.0        904.5        906.1        908.0        909.8        911.0        912.9        931.1
         123        901.9        902.5        903.2        903.7        905.0        906.6        908.4        910.4        911.6        913.3        941.7
         124        901.9        902.1        902.5        903.3        906.3        908.1        910.0        911.9        913.4        915.1        932.0
         125        900.6        900.8        901.2        901.9        904.9        906.6        909.0        910.9        912.0        913.7        925.5
         126        901.1        901.4        901.7        902.1        903.0        905.4        906.6        908.2        909.8        912.9        919.1
         127        902.1        902.3        902.7        903.2        905.0        907.8        909.8        912.8        914.0        915.5        928.7
         128        903.4        903.6        904.0        904.9        906.9        909.0        912.0        915.3        917.4        921.1        940.3
         129        904.6        904.9        905.6        906.5        907.9        909.9        912.0        914.7        916.8        921.4        942.5
         130        905.6        905.8        906.3        907.1        909.3        912.0        914.6        917.3        919.1        922.4        934.9
         131        904.3        904.5        905.0        905.7        908.3        909.8        912.9        914.9        915.7        917.9        949.5
         132        904.7        904.9        905.3        905.9        908.3        910.5        913.2        915.3        916.3        919.1        953.9
         133        905.5        905.9        906.8        907.6        909.9        912.0        914.3        916.3        917.2        919.9        939.7
         134        906.5        906.7        907.2        907.8        909.9        912.0        914.1        916.5        917.5        919.6        937.7
         135        907.3        907.7        908.4        909.6        911.9        913.6        916.4        917.4        918.7        921.5        950.0
         136        910.6        911.7        913.6        914.6        916.3        918.8        920.4        922.9        924.1        926.4        942.2
         137        906.6        906.8        907.1        907.5        908.5        911.4        912.6        914.8        916.4        918.7        954.0
         138        906.8        907.0        907.6        908.2        910.4        912.7        915.4        918.2        920.2        922.8        948.8
         139        908.3        908.7        909.4        910.3        912.8        914.6        917.9        919.5        922.6        926.6        956.1
         140        908.4        908.8        909.6        910.3        911.8        915.2        918.8        921.6        924.9        927.2        952.0
         141        910.7        911.3        912.4        913.6        915.9        918.7        921.4        925.4        926.7        930.0        953.5
         142        916.4        917.5        919.4        921.0        923.5        926.7        928.8        932.7        933.6        937.9        965.7
         143        909.7        909.9        910.3        911.0        913.8        915.5        918.2        921.0        923.9        928.8        937.3
         144        908.4        908.5        908.8        909.0        909.7        913.0        914.2        916.3        918.5        923.9        952.8
         145        907.3        907.8        908.7        909.7        911.4        913.8        916.3        918.4        920.6        926.3        955.4
         146        907.0        907.2        907.6        908.0        909.1        911.2        913.5        915.3        916.8        921.5        939.8
         147        908.1        908.4        908.8        909.3        910.9        913.4        914.4        916.3        919.0        923.8        935.3
         148        909.3        909.5        909.9        910.3        912.0        914.6        915.6        918.2        920.8        924.4        941.3
         149        908.2        908.4        908.8        909.4        911.3        913.3        915.6        917.4        919.1        921.7        936.1
         150        909.6        909.9        910.6        911.4        913.9        915.7        917.8        919.2        921.2        923.6        948.1
         151        909.0        909.3        909.8        910.6        912.6        914.5        916.6        918.1        919.5        922.2        945.7
         152        909.4        909.6        910.0        910.5        912.4        914.5        917.1        918.8        919.7        921.5        930.4
         153        909.8        910.0        910.4        910.8        911.8        915.9        917.8        921.6        922.8        923.8        953.6
         154        911.5        912.2        912.9        913.5        915.1        917.0        919.5        921.9        923.1        925.1        965.6
         155        911.8        912.8        914.5        915.9        917.4        920.1        922.3        924.0        924.8        926.6        951.1
         156        910.5        910.7        911.2        912.0        915.5        918.1        920.1        923.5        924.4        926.1        961.0
         157        910.8        911.1        911.6        912.7        916.3        918.3        922.0        923.9        925.0        926.6        943.7
         158        909.5        909.7        910.8        911.7        914.1        916.4        918.5        920.4        923.3        925.4        957.2
         159        912.7        913.2        914.1        915.2        917.9        920.4        922.6        925.8        926.7        928.7        970.8
         160        913.1        913.2        913.6        914.0        915.7        918.3        920.5        923.6        925.7        929.2        938.5
         161        914.4        914.9        916.7        918.3        920.3        923.2        926.0        928.2        930.3        935.5        973.7
         162        914.7        915.0        915.8        917.1        919.8        922.4        925.4        928.0        929.5        931.9        966.6
         163        914.3        914.6        915.3        916.8        919.6        921.5        924.2        926.7        927.5        929.6        963.1
         164        914.6        915.0        915.9        917.5        920.4        923.2        926.1        927.4        928.0        932.2        981.0
         165        915.9        917.1        918.8        919.8        922.4        924.8        926.8        929.1        930.8        937.0        989.6
         166        915.4        915.7        916.1        916.7        918.8        922.3        925.8        927.6        928.4        931.1        971.6
         167        915.5        915.9        916.7        918.3        921.2        922.6        924.5        927.0        928.6        931.8        974.9
         168        918.4        919.2        921.0        922.3        923.9        927.6        929.6        932.1        934.0        936.5        965.7
         169        916.7        916.9        917.3        918.0        921.4        923.1        924.8        927.5        928.9        931.6        976.5
         170        916.9        917.3        918.0        918.8        920.8        924.0        927.3        930.2        933.3        936.6        971.4
         171        919.1        919.7        920.4        921.3        924.4        927.0        930.4        933.1        936.2        938.5        960.3
         172        916.6        916.9        917.5        918.5        922.0        923.8        927.0        930.8        933.0        939.1        966.8
         173        917.0        917.3        918.0        918.9        922.4        924.4        927.3        932.6        934.6        939.0        948.1
         174        919.8        920.5        921.9        924.2        926.3        928.1        932.9        933.7        935.7        939.9        946.8
         175        918.8        919.1        919.7        921.5        924.7        927.0        931.0        934.3        937.5        941.2        948.0
         176        918.4        918.6        918.8        919.1        919.8        922.6        925.3        927.8        929.7        934.7        958.9
         177        918.1        918.6        919.7        920.9        923.5        926.3        928.6        931.5        934.6        940.4        949.5
         178        918.3        918.6        919.1        919.9        923.8        925.2        926.9        929.2        931.8        936.8        945.6
         179        923.5        923.7        924.1        924.7        927.1        930.2        931.5        933.9        936.4        940.3        963.2
         180        917.7        917.9        918.4        918.9        921.5        924.7        926.8        929.7        932.6        936.1        959.7
         181        917.9        918.0        918.4        918.8        920.1        923.9        925.3        927.1        928.7        933.1        969.4
         182        919.2        919.5        920.4        921.8        924.8        926.0        927.2        929.4        931.7        934.6        942.4
         183        918.1        918.4        919.4        920.9        924.1        925.6        927.4        929.0        930.5        933.2        940.0
         184        919.7        920.0        920.5        921.5        923.5        926.7        929.4        931.5        933.9        939.6        949.1
         185        920.3        920.5        920.9        921.4        923.1        926.7        929.0        931.6        933.2        936.0        947.8
         186        920.4        920.6        920.9        921.3        922.4        924.3        928.0        930.2        932.4        937.8        962.1
         187        918.7        918.9        919.3        919.8        921.5        925.5        927.6        929.8        931.5        935.3        946.5
         188        920.3        920.4        920.7        921.1        922.0        923.9        927.8        930.4        932.4        936.6        959.7
         189        920.1        920.2        920.6        921.2        923.0        926.1        929.2        931.7        933.7        937.7        949.8
         190        920.1        920.3        920.7        921.3        923.9        927.2        930.2        932.6        934.6        937.9        952.7
         191        921.5        921.9        922.5        923.7        926.1        929.8        931.9        934.9        936.7        938.4        958.4
         192        922.4        922.6        923.0        923.5        925.5        929.2        932.1        935.0        937.0        941.5        953.7
         193        924.9        926.1        927.7        929.5        931.8        935.4        938.4        940.8        943.3        947.4        962.2
         194        924.3        924.6        925.2        926.5        929.7        932.9        936.5        939.8        941.2        944.1        965.0
         195        926.3        927.2        930.0        931.9        933.6        936.0        939.1        940.8        941.7        945.5        964.2
         196        923.9        924.3        925.5        927.3        931.0        933.6        936.8        938.3        939.1        942.4        971.5
         197        926.0        927.2        929.2        930.4        933.3        936.7        938.9        941.5        943.0        945.4        977.6
         198        927.3        927.8        929.2        931.7        934.0        936.8        939.5        940.9        941.8        945.1        986.0
         199        925.3        925.6        926.2        927.0        931.2        933.4        935.5        938.8        940.2        942.5        974.6
         200        925.5        925.8        926.9        928.8        932.3        934.8        937.8        941.0        944.2        947.7        966.8
         201        926.0        926.3        926.8        927.7        931.5        933.9        937.3        940.4        942.8        947.0        959.7
         202        925.8        925.9        926.3        926.8        928.5        931.9        935.3        939.3        941.5        946.0        969.2
         203        926.5        926.7        927.1        927.8        930.9        934.4        938.0        941.0        943.3        949.2        982.7
         204        927.1        927.3        927.9        928.7        931.4        935.2        938.8        943.0        945.5        950.6        979.9
         205        927.4        927.8        928.6        929.8        933.7        937.0        940.5        945.1        948.5        952.5        974.5
         206        928.3        929.1        930.6        932.9        936.0        938.4        941.8        944.9        948.0        951.2        963.2
         207        927.2        927.4        927.9        928.6        931.9        935.6        939.0        943.9        946.0        950.6        975.7
         208        927.7        927.9        928.2        928.5        929.7        933.1        936.5        939.7        942.4        947.7        968.1
         209        924.9        925.2        925.9        926.8        929.0        931.9        936.2        940.1        943.2        948.8        958.7
         210        926.3        926.6        927.1        928.0        931.0        934.3        936.6        939.4        943.3        949.1        960.4
         211        927.7        927.9        928.5        929.4        934.6        936.2        937.9        940.4        943.4        949.7        967.1
         212        927.6        927.9        928.4        929.3        934.2        935.8        937.6        940.1        943.0        948.2        970.6
         213        927.7        927.9        928.3        928.7        929.9        935.0        936.7        938.6        940.8        945.3        973.9
         214        928.5        928.8        929.4        930.3        935.5        936.7        938.8        941.2        943.1        946.5        974.4
         215        928.5        928.8        929.2        929.8        932.0        936.2        937.7        940.1        941.8        945.0        957.0
         216        929.3        929.5        929.9        930.5        932.8        937.2        938.7        941.4        943.2        946.7        965.6
         217        930.2        930.4        930.6        931.0        931.7        933.7        938.0        941.0        943.2        946.9        977.1
         218        929.6        929.8        930.1        930.5        932.0        934.4        938.4        941.6        943.5        946.7        970.5
         219        928.7        928.8        929.1        929.4        930.6        932.8        937.3        940.6        942.7        946.5        961.6
         220        929.5        929.7        930.1        930.8        933.6        937.8        940.9        943.3        945.4        949.1        978.7
         221        929.1        929.3        929.7        930.1        931.7        934.7        939.1        942.4        944.3        948.3        973.9
         222        930.5        930.8        931.6        933.3        937.8        940.4        942.8        945.3        948.0        951.8        968.4
         223        931.1        931.3        931.8        932.5        934.6        938.4        942.0        944.9        947.1        952.7        967.8
         224        932.0        932.2        932.6        933.0        934.6        937.5        942.3        945.7        948.5        953.8        976.7
         225        935.8        936.7        938.6        941.0        944.6        948.2        950.0        952.5        954.7        958.2        971.5
         226        933.6        934.0        935.1        937.5        941.2        945.1        949.4        951.7        953.2        956.3        982.9
         227        937.1        937.8        940.0        943.6        945.3        948.3        951.6        953.8        956.1        959.3       1003.2
         228        934.5        934.8        935.6        936.5        939.1        944.1        948.3        952.0        955.6        956.7        983.4
         229        933.9        934.6        936.2        938.6        941.9        944.1        946.6        949.5        951.6        954.5        976.9
         230        933.7        934.0        934.6        935.6        937.2        941.0        945.1        947.8        950.1        953.7        974.5
         231        934.3        934.9        937.0        940.7        942.2        944.6        947.1        950.7        954.9        957.9        983.4
         232        936.3        937.6        941.1        942.4        944.3        946.5        949.6        952.9        956.2        959.0        983.3
         233        934.6        934.8        935.2        935.7        937.6        940.5        945.0        948.7        951.1        955.0        969.0
         234        935.1        935.4        936.2        938.2        942.8        945.7        949.0        951.7        954.0        957.9        995.7
         235        935.7        936.1        937.2        939.5        943.8        946.2        949.7        952.6        956.0        961.5        989.3
         236        937.3        937.8        939.5        942.6        945.7        948.8        951.8        955.2        957.9        961.3       1004.2
         237        936.8        937.0        937.6        938.6        941.9        946.3        950.4        955.1        956.9        963.1        979.6
         238        939.3        940.4        942.5        945.0        948.7        951.8        954.7        957.9        960.9        965.8        985.7
         239        934.0        934.3        934.7        935.2        939.1        943.8        948.6        953.3        954.8        958.2        977.3
         240        934.1        934.4        934.7        935.1        935.9        939.5        945.3        948.9        951.7        956.9        965.2
         241        933.9        934.2        934.7        935.4        942.4        944.4        948.8        952.9        957.6        959.3        971.7
         242        934.6        934.8        935.2        935.6        936.5        943.3        946.0        950.0        953.6        957.8        986.0
         243        935.2        935.5        935.9        936.3        937.0        939.1        945.5        947.7        951.9        955.7       1002.7
         244        935.1        935.3        935.8        936.3        937.0        939.7        945.8        949.1        953.1        993.4       1638.6
         245        937.1        937.3        937.5        937.7        938.2        939.8        946.8        951.1        953.7        961.3       1048.8
         246        935.7        935.8        936.1        936.3        937.0        944.9        945.5        947.0        950.6        953.7        980.9
         247        936.4        936.5        936.7        936.9        937.5        945.5        946.2        947.5        951.0        954.2        977.4
         248        937.6        937.7        938.0        938.2        938.6        939.9        947.2        949.2        954.6        956.3        991.6
         249        937.7        937.8        938.1        938.3        938.8        946.6        947.7        949.5        954.6        956.2        990.4
         250        936.5        936.6        936.8        937.0        937.5        944.9        946.2        947.8        951.7        954.4        985.0
         251        937.0        937.1        937.4        937.6        938.2        945.9        946.8        948.3        950.2        955.2        981.3
         252        937.7        937.9        938.3        938.6        939.4        946.6        948.2        949.0        949.8        953.5        987.3
         253        938.7        939.0        939.5        939.9        940.6        948.0        949.6        950.2        950.7        953.9        981.8
         254        939.6        940.0        940.6        940.9        941.5        949.9        950.8        951.3        951.9        955.1        984.8
         255        939.7        940.0        940.6        941.1        941.7        942.8        950.8        951.4        951.8        955.1        980.9
         256        939.3        939.7        940.4        940.8        941.5        949.8        950.7        951.2        952.2        956.2        983.1
