   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1        975.0        975.3        975.8        976.4        977.2        978.5        980.2        982.9        985.2        989.7       1099.1
           2        955.3        955.4        955.5        955.6        955.8        956.0        956.2        956.5        958.6        966.4        976.7
           3        952.8        952.9        953.0        953.1        953.3        953.5        953.7        954.0        954.5        958.1        959.6
           4        952.2        955.9        958.0        958.1        958.3        958.5        958.8        959.0        959.5        962.8        964.8
           5        945.7        954.9        961.8        962.6        966.4        967.5        969.5        971.5        978.4        981.6       1006.1
           6        930.6        936.1        946.2        946.6        948.3        950.4        965.9        968.4        970.2        972.3        983.0
           7        947.8        948.4        951.4        951.7        952.0        952.3        952.6        953.3        955.0        961.7        983.9
           8        935.8        937.1        943.3        943.6        944.0        944.4        945.0        946.4        947.6        952.8        971.3
           9        913.3        916.6        919.1        920.2        923.3        926.0        928.2        934.4        940.1        941.6        947.8
          10        921.2        924.2        926.7        928.1        929.6        931.6        934.9        938.0        940.9        945.0        946.6
          11        997.8       1001.0       1004.5       1006.1       1008.2       1009.9       1011.9       1013.9       1015.7       1020.9       1038.2
          12        926.5        928.7        930.3        931.5        933.3        935.9        944.9        948.4        950.3        955.8        980.5
          13        890.5        892.2        894.3        895.5        897.7        900.7        907.5        910.4        912.0        914.0        937.8
          14        904.6        910.2        915.4        917.7        921.5        923.5        925.3        927.4        929.9        933.5        955.9
          15        877.8        878.3        879.4        880.5        884.4        889.2        891.9        894.7        896.2        898.7        918.7
          16        890.2        891.2        892.4        892.9        897.1        902.4        906.3        914.0        916.6        919.2        930.6
          17        877.5        878.7        881.2        883.5        889.1        891.1        892.6        893.9        895.2        901.9        911.7
          18        883.7        885.7        887.5        888.1        889.9        895.9        901.8        904.9        909.1        912.7        918.8
          19        865.2        865.4        865.6        866.2        867.0        868.6        871.6        873.2        874.1        875.4        894.1
          20        868.4        868.5        868.8        869.0        869.5        870.6        871.6        872.9        874.2        880.0        904.2
          21        896.3        897.0        898.3        899.1        900.7        902.7        905.1        907.9        910.3        913.0        917.5
          22        886.4        887.7        889.4        891.4        893.2        896.3        899.8        902.3        904.9        908.9        916.5
          23        867.7        868.5        873.1        873.6        874.7        875.7        876.9        879.0        880.7        883.5        902.7
          24        870.4        870.7        871.0        871.3        872.4        873.2        874.2        875.2        878.5        880.4        881.9
          25        873.9        874.1        874.3        874.6        875.3        876.4        877.0        878.0        878.7        880.3        909.0
          26        876.6        877.0        877.5        877.8        878.4        879.5        880.3        881.4        882.4        885.2        892.9
          27        877.4        877.8        878.7        879.2        879.9        880.6        881.5        882.5        883.4        886.3        922.1
          28        883.0        884.1        884.7        885.0        886.1        888.8        890.5        892.3        895.0        903.4        931.0
          29        869.2        869.3        869.4        869.6        870.0        870.7        871.4        872.5        873.1        874.8        888.8
          30        870.1        870.3        870.6        870.8        871.2        871.7        872.6        873.6        874.5        876.4        895.3
          31        871.4        872.1        873.8        874.6        875.0        875.9        876.6        877.1        877.7        879.0        884.0
          32        872.0        872.1        872.3        872.6        873.7        875.7        881.9        885.8        887.3        889.8        917.8
          33        875.5        876.0        876.8        877.5        878.6        879.4        880.2        880.9        881.9        884.9        908.2
          34        877.5        878.0        878.9        879.3        879.7        880.2        881.0        881.7        882.3        884.2        906.3
          35        878.8        879.1        879.8        880.7        881.8        882.9        883.6        884.8        885.7        888.3        895.4
          36        880.2        881.1        881.5        881.8        882.6        883.6        885.2        886.5        888.2        890.5        908.6
          37        883.9        884.5        885.3        886.1        887.2        888.6        890.4        892.0        893.0        896.1        931.0
          38        872.0        872.3        872.7        873.0        873.6        874.6        875.7        876.8        877.7        879.6        901.8
          39        872.8        873.0        873.4        873.9        874.7        875.7        876.7        877.7        878.5        880.4        915.5
          40        873.1        874.5        875.9        876.4        877.4        878.4        879.5        880.3        881.1        883.4        931.0
          41        873.8        873.9        874.1        874.3        874.8        875.8        877.5        880.3        882.0        883.8        904.0
          42        875.5        875.7        876.0        876.4        877.6        879.1        881.3        883.0        883.9        885.4        903.7
          43        875.5        875.6        875.9        876.3        877.6        879.6        881.1        882.3        882.9        885.6        900.1
          44        882.5        882.6        882.9        883.2        884.2        885.2        886.3        887.3        888.1        891.5        943.1
          45        884.6        884.8        885.2        885.5        887.0        888.0        888.7        889.6        890.2        893.8        913.0
          46        877.8        878.0        878.3        878.5        879.1        880.2        881.5        883.5        884.6        886.2        895.9
          47        878.8        879.2        879.8        880.3        881.5        883.1        887.1        889.7        890.9        893.4        906.6
          48        879.4        879.5        879.6        879.8        880.2        881.2        882.7        885.5        886.6        887.9        897.6
          49        878.6        878.8        879.0        879.3        879.9        881.4        888.2        889.9        891.0        893.8        929.0
          50        880.6        880.7        880.9        881.1        881.6        882.8        884.0        885.9        887.9        890.9        931.1
          51        880.1        880.4        880.7        881.0        881.6        882.6        884.7        887.3        888.8        891.0        935.1
          52        879.2        879.6        880.8        882.0        882.8        884.1        885.5        887.4        888.9        891.3        938.7
          53        879.9        880.7        881.5        882.1        882.9        883.9        885.6        887.5        888.5        891.5        935.1
          54        882.7        882.9        883.2        883.4        883.9        884.7        885.9        888.6        890.2        895.6        943.6
          55        882.1        882.4        882.9        883.4        884.5        887.6        889.0        890.0        891.5        894.8        929.4
          56        885.0        885.3        886.0        886.7        888.3        889.8        891.1        892.3        894.1        897.8        932.4
          57        878.7        878.8        879.0        879.2        879.6        880.4        882.0        883.6        884.5        885.9        910.0
          58        879.2        879.3        879.5        879.7        880.0        880.8        882.2        883.6        884.6        887.2        915.0
          59        880.4        880.6        880.9        881.2        881.8        883.1        884.3        885.5        886.5        887.9        920.6
          60        880.7        880.9        881.1        881.3        881.7        882.1        883.3        884.5        885.6        887.6        903.7
          61        881.5        881.9        882.2        882.5        882.9        883.7        884.8        886.0        886.8        889.2        909.7
          62        880.4        880.5        880.7        881.0        881.6        882.8        884.2        885.9        887.0        888.5        905.5
          63        880.6        880.8        881.1        881.5        882.5        884.1        886.7        887.8        888.7        890.6        898.0
          64        883.6        883.8        884.1        884.7        886.3        888.2        891.5        895.7        897.8        900.7        905.6
          65        883.5        883.7        884.1        884.8        886.2        888.5        891.5        894.3        895.4        897.1        902.9
          66        884.9        885.2        885.8        886.6        887.8        890.2        892.6        895.5        897.1        899.1        924.8
          67        885.7        885.9        886.6        887.5        888.9        890.5        892.3        893.8        895.5        898.2        915.9
          68        887.2        888.0        889.1        889.9        891.2        892.8        894.6        896.3        897.9        900.7        930.4
          69        886.9        887.4        888.4        889.3        890.9        893.0        896.5        897.5        898.1        899.3        930.8
          70        887.1        887.4        888.0        888.5        889.5        890.9        892.4        894.3        896.1        898.4        933.4
          71        888.3        888.7        889.5        890.0        890.8        892.2        893.8        895.6        897.0        899.5        923.5
          72        888.6        889.2        890.5        891.5        893.6        895.8        898.2        900.2        901.2        903.0        922.9
          73        887.5        887.6        887.9        888.2        889.0        890.4        891.8        893.2        894.1        897.6        926.4
          74        888.1        888.3        888.7        889.6        890.8        892.3        893.7        895.1        896.4        899.6        910.3
          75        890.8        891.3        892.0        892.7        893.9        895.7        897.6        899.5        900.9        903.5        940.2
          76        884.0        884.1        884.3        884.5        885.1        886.1        887.2        888.2        889.1        891.6        897.8
          77        884.5        884.6        884.8        884.9        885.3        886.1        887.9        889.9        891.1        893.2        922.8
          78        886.1        886.5        887.2        888.2        889.4        891.6        894.3        896.2        897.1        899.0        934.0
          79        889.0        889.2        889.5        889.8        891.1        893.0        894.7        896.9        899.9        903.2        916.1
          80        891.7        891.8        892.1        892.4        893.2        894.4        895.4        896.7        897.3        899.7        921.7
          81        893.9        894.6        895.7        896.8        898.7        901.0        903.0        909.3        910.7        912.2        951.4
