   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100          8.3          8.3          8.3          8.4          8.4          8.5          8.5          8.7          8.8          8.9          9.0
         237          8.3          8.3          8.3          8.3          8.4          8.4          8.5          8.7          8.8          8.9          9.0
         562          9.0          9.0          9.0          9.0          9.1          9.1          9.2          9.4          9.5          9.7          9.9
        1332         11.8         11.8         11.9         11.9         11.9         12.0         12.0         12.2         12.4         12.4         12.5
        3158         15.3         15.3         15.3         15.3         15.4         15.4         15.5         15.8         15.9         16.7         16.8
        7488         23.1         23.2         23.2         23.3         23.3         23.4         23.5         23.6         23.7         23.9         24.6
       17756         43.0         43.0         43.1         43.1         43.2         43.2         43.3         43.4         43.6         43.7         43.8
       42106         85.1         85.4         85.7         85.8         86.6         86.9         87.8         88.0         88.1         88.4         88.9
       99849        197.6        197.7        197.8        197.8        197.9        198.0        198.2        198.3        198.4        198.7        201.3
