   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         16.3         16.3         16.3         16.4         16.4         16.5         16.6         16.7         16.8         17.0         18.4
         237         16.6         16.6         16.7         16.7         16.8         16.8         17.0         17.1         17.2         17.4         19.1
         562         17.6         17.6         17.6         17.7         17.7         17.8         17.9         18.0         18.1         18.2         19.7
        1332         25.1         25.2         25.2         25.2         25.3         25.4         25.5         25.7         25.9         26.0         26.4
        3158         41.3         41.3         41.3         41.3         41.4         41.5         41.6         41.8         41.9         42.3         43.0
        7488         78.7         78.8         78.8         78.9         79.1         79.4         79.6         80.5         81.0         81.4         84.4
       17756        185.3        189.3        189.9        190.1        190.3        190.5        190.8        191.1        191.3        191.7        193.6
       42106        378.8        381.1        382.0        382.1        382.3        382.6        382.9        383.4        384.2        386.0        388.8
       99849        945.7        949.7        950.9        954.2        954.5        954.7        955.1        955.9        957.4        959.8        962.8
