   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         23.3         23.3         23.4         23.5         23.6         23.7         24.0         24.2         24.3         24.7         26.9
         237         23.7         23.7         23.8         24.0         24.2         24.8         25.1         25.3         25.5         25.8         27.4
         562         25.3         25.4         25.6         26.3         26.4         26.5         26.6         26.8         27.0         27.4         29.5
        1332         33.5         33.6         33.8         34.0         34.6         34.8         35.0         35.3         35.5         35.9         39.0
        3158         54.6         54.6         54.7         54.7         54.8         55.0         55.1         55.3         55.4         55.8         58.5
        7488        106.3        106.3        106.4        106.4        106.6        106.7        106.9        107.1        107.3        107.8        110.7
       17756        243.5        247.6        253.1        253.6        254.2        254.8        257.1        258.4        264.9        265.6        266.1
       42106        518.8        518.9        519.0        519.1        519.3        519.8        520.7        521.8        522.7        524.9        528.7
       99849       1292.2       1296.1       1304.6       1313.1       1313.6       1314.1       1314.8       1317.4       1318.2       1320.8       1366.6
