   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1         38.1         38.2         38.2         38.3         38.4         38.6         38.8         39.0         39.2         39.5         40.8
           2         37.7         37.8         37.8         37.9         38.0         38.1         38.3         39.0         39.2         39.3         39.4
           3         38.0         38.4         38.4         38.5         38.6         38.6         38.7         38.8         38.9         39.1         39.2
           4         37.8         37.8         37.9         37.9         38.0         38.1         38.2         38.9         39.2         39.7         39.9
           5         38.4         38.4         38.5         38.5         38.6         38.7         38.8         39.5         39.6         39.7         40.0
           6         38.8         38.8         38.9         38.9         39.1         39.3         39.4         39.5         39.6         39.8         40.0
           7         39.4         39.5         39.5         39.5         39.6         39.7         39.9         40.0         40.2         40.6         40.9
           8         39.6         39.6         39.7         39.7         39.8         39.9         40.0         40.2         40.3         40.5         41.0
           9         40.2         40.2         40.3         40.3         40.4         40.6         40.9         41.1         41.2         41.4         41.9
          10         41.0         41.0         41.1         41.1         41.2         41.2         41.4         41.7         42.1         42.4         43.1
          11         41.2         41.2         41.3         41.3         41.4         41.4         41.5         41.8         41.9         42.1         42.6
          12         41.6         41.6         41.7         41.7         41.8         41.9         42.1         42.4         42.6         42.8         43.5
          13         42.2         42.2         42.3         42.4         42.6         42.8         43.0         43.2         43.4         43.7         46.2
          14         43.0         43.1         43.2         43.3         43.4         43.6         43.7         43.9         44.1         44.4         47.7
          15         43.8         43.8         43.9         44.0         44.1         44.3         44.5         44.8         44.9         45.4         49.9
          16         44.2         44.2         44.3         44.3         44.4         44.6         44.8         45.0         45.2         45.9         51.4
