   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1         15.1         15.1         15.1         15.2         15.2         15.3         15.4         15.6         16.2         17.4         17.5
           2         15.7         15.7         15.8         15.8         15.8         15.9         16.0         16.3         17.5         18.0         18.0
           4         17.6         17.6         17.6         17.7         17.7         17.8         17.9         18.3         18.7         19.8         19.9
           8         21.1         21.1         21.1         21.2         21.3         21.4         21.5         22.4         22.9         23.1         23.4
          16         25.4         25.4         25.5         25.5         25.6         25.8         26.1         26.8         27.1         27.3         28.1
          32         41.8         41.9         42.0         42.0         42.3         42.9         43.2         44.0         44.6         45.4         47.7
          64         51.6         51.7         51.8         51.9         52.4         52.9         53.5         54.2         54.8         55.9         60.6
         128         70.1         70.2         70.4         70.6         71.0         71.5         72.3         73.5         74.7         76.6        115.5
