   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         46.1         46.2         46.3         46.3         46.5         46.7         47.2         48.4        124.6       5429.8       5766.5
         237         47.7         47.7         47.8         47.9         48.1         48.3         48.8         50.1        127.6       5419.3       5804.0
         562         50.3         50.4         50.5         50.6         50.9         51.2         51.6         53.2        120.8       5389.9       5791.5
        1332         62.3         62.3         62.5         62.6         62.9         63.8         64.9         66.1        118.2       5298.0       5739.8
        3158         85.0         85.0         85.1         85.2         85.3         85.5         85.9         86.7        149.9       5404.9       5744.3
        7488        162.3        162.3        162.4        162.5        162.6        162.8        163.2        164.3        204.8       5372.3       5816.3
       17756        376.3        381.5        385.7        387.5        389.8        392.5        399.6       2512.5       4016.8       5371.1       5933.9
       42106        797.4        799.7        801.8        803.0        804.9        807.7        811.4       3642.9       4371.9       5706.4       6045.0
       99849       1972.4       1978.6       1985.6       1989.7       1997.5       2012.7       3981.9       4099.8       6033.3       6140.0       7941.6
