     Samples  DatasetSize   ServerSize    MultiSize      KeySize    ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          20      1000000            2        70312           30         1000  1317262.018  1317262.018  1319900.353  1320441.171  1324839.933  1327233.564  1329791.400  1333366.736  1337014.944  1337014.944  1337014.944
          20      1000000            4          100           30         1000  1601860.477  1601860.477  1601962.065  1602470.392  1603019.513  1603449.232  1604215.490  1606174.366  1606583.659  1606583.659  1606583.659
          20      1000000            4          144           30         1000  1517733.079  1517733.079  1520676.386  1522248.361  1524869.300  1527483.209  1529091.803  1530634.567  1549407.363  1549407.363  1549407.363
          20      1000000            4          208           30         1000  1379814.154  1379814.154  1382194.940  1382287.692  1383299.142  1385641.461  1387452.051  1391410.542  1400374.176  1400374.176  1400374.176
          20      1000000            4          300           30         1000  1311641.282  1311641.282  1312492.945  1313433.980  1314810.073  1315568.226  1319420.693  1320972.896  1321608.648  1321608.648  1321608.648
          20      1000000            4          432           30         1000  1284196.138  1284196.138  1284904.825  1284921.819  1286667.931  1287979.472  1290847.634  1295188.212  1299152.510  1299152.510  1299152.510
          20      1000000            4          622           30         1000  1218633.817  1218633.817  1218833.543  1219330.408  1219966.946  1220972.371  1222398.887  1233075.703  1235451.934  1235451.934  1235451.934
          20      1000000            4          895           30         1000  1156867.359  1156867.359  1157528.163  1157598.453  1158186.826  1158556.405  1159671.290  1161750.025  1161824.755  1161824.755  1161824.755
          20      1000000            4         1288           30         1000  1119146.736  1119146.736  1119440.210  1119570.692  1120562.614  1121660.806  1122820.754  1134786.291  1138336.300  1138336.300  1138336.300
          20      1000000            4         1853           30         1000  1102707.376  1102707.376  1103952.506  1104264.729  1104470.026  1104727.492  1105221.789  1106233.285  1107449.969  1107449.969  1107449.969
          20      1000000            4         2666           30         1000  1077590.228  1077590.228  1077830.621  1078589.077  1078987.379  1079572.099  1084892.711  1093243.350  1096758.056  1096758.056  1096758.056
          20      1000000            4         3835           30         1000  1077391.919  1077391.919  1077434.056  1077934.644  1079118.972  1079743.818  1080733.018  1083609.713  1097667.024  1097667.024  1097667.024
