   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1         14.6         14.6         14.7         14.7         14.7         14.7         14.8         15.1         15.2         16.8         16.9
           2         15.8         15.8         15.8         15.9         15.9         16.0         16.1         16.3         17.2         18.0         18.1
           4         17.9         17.9         18.0         18.0         18.0         18.1         18.2         18.6         20.0         20.2         20.3
           8         21.8         21.8         21.9         21.9         21.9         22.0         22.2         23.0         23.4         23.8         24.1
          16         25.3         25.3         25.4         25.4         25.5         25.7         26.0         26.6         27.0         27.3         27.8
          32         41.7         41.8         41.9         42.0         42.2         42.8         43.1         44.0         44.6         45.4         47.9
          64         51.8         51.8         51.9         52.1         52.4         52.9         53.4         54.0         54.5         55.7         91.4
         128         70.5         70.6         70.8         71.0         71.7         72.5         73.2         74.4         75.6         77.4        119.0
