   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         26.0         26.1         26.2         26.3         27.6         27.7         27.8         28.0         28.1         28.3         30.6
         237         27.0         27.1         27.2         27.3         27.8         28.1         28.4         28.6         28.7         29.0         31.7
         562         28.0         28.0         28.2         28.3         28.4         28.6         28.7         29.9         30.2         30.5         32.8
        1332         37.7         37.8         37.9         38.0         38.1         38.3         38.5         38.8         39.1         40.0         44.6
        3158         61.0         61.0         61.1         61.1         61.2         61.4         61.7         61.9         62.1         62.5         93.6
        7488        119.8        119.8        119.9        120.0        120.1        120.3        120.5        120.7        121.0        121.4        125.8
       17756        277.8        282.8        284.0        284.4        285.6        289.8        292.3        297.9        300.3        301.3        303.2
       42106        593.7        593.9        594.1        594.4        595.0        595.7        596.5        597.2        598.0        599.7        608.6
       99849       1468.4       1472.0       1480.4       1484.8       1489.1       1490.6       1493.0       1494.0       1495.2       1499.6       1545.9
