   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
           1        971.3        971.6        972.4        973.2        975.3        977.6        980.2        982.7        985.7        991.9       1152.7
           2        955.2        955.2        955.4        955.4        955.6        955.8        956.0        956.4        958.4        970.1        989.5
           4        952.6        956.4        957.8        958.0        958.1        958.4        958.6        958.9        959.8        963.6        996.7
           8        954.7        955.1        958.5        962.4        962.7        962.9        963.2        963.7        965.1        968.2       1011.7
          16        932.7        938.8        948.5        958.7        968.1        969.9        970.7        972.5        973.5        977.2       1059.6
          32        871.3        871.7        872.2        872.5        873.4        874.6        875.7        877.1        878.7        882.8        972.6
          64        882.8        883.2        883.6        884.0        885.2        887.7        889.8        892.1        893.5        896.4        985.4
         128        901.8        902.1        902.7        903.1        903.8        905.7        907.3        909.7        911.5        914.9        999.5
         256        938.2        938.4        938.9        939.5        941.0        948.4        949.6        955.2        957.5        961.1       1041.5
         512       1014.6       1015.5       1017.3       1019.5       1026.0       1038.2       1043.5       1047.8       1053.4       1063.6       1145.7
        1024       1128.9       1131.4       1135.9       1141.4       1163.6       1184.3       1190.6       1200.7       1215.5       1238.7       1312.5
        2048       1171.4       1172.6       1174.9       1177.5       1182.8       1257.1       1262.7       1268.6       1274.8       1353.7       1396.8
        4096       1605.5       1606.8       1609.3       1612.0       1619.6       1802.0       1808.7       1814.1       1818.4       1881.0       1930.9
