   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         30.8         30.9         31.1         31.2         31.3         31.5         32.0         33.2         34.5         35.3         41.7
         237         32.3         32.5         32.6         32.7         33.0         33.1         33.6         33.9         34.1         34.7         37.4
         562         36.2         36.3         36.5         36.6         36.7         36.9         37.0         37.2         37.4         38.1         41.8
        1332         58.2         58.3         58.4         58.5         58.6         58.8         58.9         59.1         59.3         60.0        107.6
        3158        107.0        107.4        107.6        107.8        107.9        108.1        108.3        108.5        108.7        109.0        120.4
        7488        220.9        221.0        221.1        221.2        221.3        221.5        221.7        222.0        222.4        223.6        227.3
       17756        511.4        512.5        513.7        515.3        517.8        521.0        524.1        527.7        530.0        538.2        551.4
       42106       1177.4       1178.7       1182.2       1190.9       1192.0       1192.6       1193.5       1195.5       1196.7       1200.1       1239.4
       99849       3411.1       3416.2       3429.7       3449.5       3456.8       3459.5       3463.2       3517.3       3630.3       3697.5       3703.2
