   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         28.6         28.6         28.7         28.7         28.8         28.9         29.1         30.3         30.5         30.9         34.0
         237         29.9         30.0         30.2         30.4         30.6         30.9         31.3         31.6         31.9         32.2         34.1
         562         31.9         32.0         32.0         32.1         32.2         32.3         32.5         32.7         32.9         33.5         36.3
        1332         50.0         50.0         50.1         50.2         50.3         50.5         50.7         50.9         51.1         51.7         57.8
        3158         90.6         90.7         90.8         90.8         91.0         91.2         91.4         91.8         92.2         93.6         98.1
        7488        186.8        186.8        186.9        187.0        187.1        187.2        187.5        187.8        188.1        188.8        190.4
       17756        435.1        436.4        438.9        439.4        440.0        440.4        440.8        441.6        442.0        443.8        447.7
       42106        983.4        984.8        988.0        988.4        988.8        989.2        990.2        991.1        992.0        994.5        999.2
       99849       2342.7       2349.4       2357.8       2372.6       2387.0       2388.7       2390.3       2392.5       2394.7       2401.1       2446.7
