   ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
         100         27.6         27.6         27.7         27.7         27.9         28.2         28.6         28.8         28.9         29.4         33.5
         237         27.9         27.9         28.0         28.1         28.2         28.5         28.9         29.4         29.5         29.9         32.7
         562         30.0         30.0         30.0         30.1         30.2         30.3         30.5         30.8         30.9         31.3         33.9
        1332         44.0         44.1         44.2         44.3         44.4         44.6         44.8         45.0         45.2         45.8         50.8
        3158         78.8         78.8         78.9         79.0         79.1         79.3         79.6         79.9         80.1         81.2        109.2
        7488        160.1        160.2        160.3        160.4        160.5        160.8        161.3        161.7        162.1        162.8        163.8
       17756        358.0        358.5        359.5        360.5        362.9        366.3        370.6        373.1        376.6        378.7        380.9
       42106        824.9        828.3        834.1        835.0        837.3        840.7        844.2        849.0        849.9        850.7        854.3
       99849       1986.3       1993.5       2011.0       2023.8       2029.9       2033.9       2043.4       2045.1       2046.2       2054.9       2094.3
